#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

EVTNAME39100;The Knights of St. John;Les Chevaliers de Saint Jean;Die Ritter des Johanniterordens;;Los Caballeros de San Juan;;;;;;;;;x
EVTDESC39023;My [GetFromRelation] [From.GetFirstName] would have me reconsider and embrace the [From.Religion.GetName] faith.;M[From.GetOnA] [GetFromRelation], [From.GetFirstName], souhaite ma conversion à la foi [From.Religion.GetName].;M[From.Geteineine] [GetFromRelation] [From.GetFirstName] will, dass ich es überdenke und den [From.Religion.GetName]en Glauben annehme.;;Mi [GetFromRelation] [From.GetFirstName] me hizo reconsiderar y abrazar la fe [From.Religion.GetName].;;;;;;;;;x
EVTDESC39024;Betrayal! The guards are coming for me.;Trahison ! Les gardes viennent nous chercher.;Verrat! Die Wachen holen mich ab.;;¡Traición! Los guardias vienen a por mí.;;;;;;;;;x
EVTDESC39025;[From.GetFirstName], my [GetFromRelation], remains true to [From.GetPossPronoun] errant beliefs.;[From.GetFirstName], m[From.GetOnA] [GetFromRelation], reste fidèle à ses croyances dévoyées.;[From.GetFirstName], m[From.Geteineine] [GetFromRelation], hängt weiter an [From.GetPossPronoun]em fehlgeleiteten Glauben.;;[From.GetFirstName], mi [GetFromRelation], sigue fiel a sus creencias profanas.;;;;;;;;;x
EVTDESC39026;[From.GetFirstName] has seen sense and abandoned [From.GetPossPronoun] dangerous heresy.;[From.GetFirstName] a entendu raison et a abandonné sa dangereuse hérésie.;[From.GetFirstName] hat Vernunft angenommen und [From.GetPossPronoun]e gefährliche Ketzerei aufgegeben.;;[From.GetFirstName] ha recobrado la cordura y ha abandonado su peligrosa herejía.;;;;;;;;;x
EVTDESC39100;A decree has been issued confirming the formation of a new religious military order - the Knights of St. John. The Knights, who have already protected and cared for sick pilgrims in Jerusalem for some time, now have the full weight of the [Root.Religion.GetName] Church behind them. Pious [Root.Religion.GetName] rulers may call on their support in wars against heretics and heathens, but they will not fight those of their own faith.;L'Église [Root.Religion.GetName] a publié un décret confirmant la formation d'un nouvel ordre religieux : l'Ordre de Saint-Jean de Jérusalem, plus connu sous le nom de « Ordre de l'Hospital ».\nCes chevaliers, qui protègent et soignent déjà les pèlerins se rendant à Jérusalem, bénéficient désormais de l'appui de l'Église [Root.Religion.GetName].\nLes pieux seigneurs chrétiens peuvent désormais faire appel à eux pour les aider dans leurs guerre contre les hérétiques et les païens, mais ils ne combattront pas leurs frères [Root.GetReligionMascPl].;Die [Root.Religion.GetName]e Kirche hat über eine Bulle die Gründung eines neuen religiösen Militärordens bestätigt - den Johanniterorden. Diese Ritter, die bereits seit einiger Zeit in Jerusalem kranke Pilger beschützt und gepflegt haben, können sich nun der vollen Unterstützung der [Root.Religion.GetName]en Kirche sicher sein. In Kriegen gegen Ketzer und Heiden können gottesfürchtige christliche Herrscher auf ihre Unterstützung zählen. Gegen [Root.Religion.GetName]e Glaubensbrüder aber ziehen sie nicht zu Felde.;;La iglesia [Root.Religion.GetName] ha publicado una bula confirmando la creación de una nueva orden religiosa y militar: los Caballeros de San Juan. Estos, que ya llevan tiempo protegiendo y cuidando a peregrinos enfermos en Jerusalén, disponen ahora del pleno apoyo de la iglesia [Root.Religion.GetName]. Los gobernantes cristianos devotos pueden pedirles ayuda en las guerras contra herejes y paganos, pero no lucharán contra otros [Root.Religion.GetName]s.;;;;;;;;;x
EVTDESC39101;A new Christian military order has been founded by a small group of wealthy knights. The Poor Fellow-Soldiers of Christ and of the Temple of Solomon - or the Knights Templar for short - have sworn to protect pilgrims travelling through the Holy Land. The [Root.Religion.GetName] church fully endorses the Order, and this will allow pious [Root.Religion.GetName] rulers to call on their aid, though they will only fight against heretics and infidels.;Un nouvel ordre militaire chrétien a été fondé par un groupe de huit chevaliers.\nLes Pauvres Chevaliers du Christ et du Temple de Salomon, également appelés Templiers, ont juré de protéger les pèlerins se rendant en Terre sainte.\nL'Église [Root.Religion.GetName] a légitimé cet ordre par le concile de Troyes et autorise ainsi les pieux seigneurs [Root.GetReligionMascPl] à solliciter leur aide, bien que l'Ordre du Temple se refusera à combattre d'autres [Root.GetReligionMascPl].;Eine kleine Gruppe wohlhabender Ritter hat einen neuen christlichen Militärorden gegründet. Die Arme Ritterschaft Christi und des salomonischen Tempels zu Jerusalem, oder kurz Tempelritter, haben geschworen, die durch das Heilige Land reisenden Pilger zu beschützen. Die [Root.Religion.GetName]e Kirche steht hinter dem Orden und gestattet gottesfürchtigen [Root.Religion.GetName]en Herrschern, sie um Unterstützung zu bitten. Gegen [Root.Religion.GetName]e Glaubensbrüder aber ziehen sie nicht zu Felde.;;Un pequeño grupo de caballeros ricos ha fundado una nueva orden militar cristiana. Los Pobres Caballeros de Cristo y del Templo de Salomón, o Caballeros Templarios de modo abreviado, han jurado proteger a los peregrinos que viajen por Tierra Santa. La iglesia [Root.Religion.GetName] apoya totalmente la Orden y permitirá que los gobernantes [Root.Religion.GetName] devotos les pidan ayuda, pero la Orden no luchará contra otros [Root.Religion.GetName]s.;;;;;;;;;x
EVTDESC39102;The Order of Brothers of the German House of Saint Mary in Jerusalem has been formed, sponsored by the [Root.Religion.GetName] Church and the Holy Roman Emperor. The Teutonic Order, much like the Knights of St. John and the Knights Templar, primarily protect and care for pilgrims to the Holy Land, but will serve any [Root.Religion.GetName] ruler willing to pay for their upkeep. Being a religious order, they will only fight against heretics and infidels.;L'Ordre de la Maison de Sainte-Marie-des-Teutoniques, ou Ordre Teutonique, a été formé par un groupe de chevaliers originaires de Brême et de Lübeck.\nCelui-ci est soutenu par l'Église [Root.Religion.GetName] et par le Saint Empereur romain. L'Ordre Teutonique, à l'instar des Hospitaliers et des Templiers, protège et soigne principalement les pèlerins qui viennent en Terre sainte, mais serviront aussi tout bon seigneur [Root.GetReligionMasc]. En tant qu'ordre religieux, il ne combattra que des hérétiques et des infidèles.;Unterstützt von der [Root.Religion.GetName]en Kirche und dem Heiligen Römischen Kaiser wurde der Orden der Brüder vom Deutschen Haus Sankt Mariens in Jerusalem gegründet. Wie die Johanniter und die Tempelritter bieten auch die Ritter des Deutschen Ordens hauptsächlich Pilgern im Heiligen Land Schutz und Pflege. Generell aber dienen sie jedem rechtschaffenen [Root.Religion.GetName]en Herrscher, der für ihren Unterhalt aufkommt. Als religiöser Orden kämpfen sie nicht gegen [Root.Religion.GetName]e Glaubensbrüder.;;Se ha creado la Orden de los Caballeros Teutónicos del Hospital de Santa María de Jerusalén, auspiciada por la iglesia [Root.Religion.GetName] y el Sacro Emperador Romano. La principal tarea de dicha Orden, igual que en el caso de los Caballeros de San Juan y los Templarios, es proteger a los peregrinos a Tierra Santa, pero servirán a cualquier buen gobernante [Root.Religion.GetName] dispuesto a pagar su mantenimiento. Al ser una Orden religiosa, no lucharán contra otros [Root.Religion.GetName]s.;;;;;;;;;x
EVTDESC39200;The coffers of Holy Mother Church are full and the faithful are struggling against infidels and heathens. Perhaps we should provide some assistance.;Les coffres de la Sainte Mère l'Église sont pleins, et les fidèles combattent les infidèles ainsi que les païens. Nous devrions peut-être les aider.;Die Truhen der Heiligen Mutter Kirche sind gut gefüllt, und die Gläubigen kämpfen gegen Ungläubige und Heiden. Vielleicht sollten wir ihnen Unterstützung bieten.;;Las arcas de la Santa Madre Iglesia están llenas y los fieles luchan contra los infieles y los paganos. Quizá deberíamos ayudarles.;;;;;;;;;x
EVTDESC39201;Your righteous struggle against the heathens has not gone unnoticed. I have dispatched a Papal emissary with sufficient funds to assist you.;Votre légitime combat contre les païens n'est pas passé inaperçu. J'ai dépêché un émissaire papal pour vous remettre des fonds.;Euer rechtschaffener Kampf gegen die Heiden ist nicht unbemerkt geblieben. Zu Eurer Hilfe habe ich einen päpstlichen Gesandten mit ausreichenden Geldern losgeschickt.;;Tu justa lucha contra los paganos no ha pasado desapercibida. He enviado un emisario papal con dinero suficiente para ayudarte.;;;;;;;;;x
EVTDESC39210;One of the God's favored children seems to have been accused of kinslaying. This is clearly unfortunate.  The Church will allow him to do penance for absolution.;Apparemment, un enfant de Dieu est accusé de parricide. C'est tout à fait regrettable. L'Église va lui permettre de faire pénitence pour obtenir l'absolution.;Eines von Gottes liebsten Kindern scheint des Sippenmords angeklagt worden zu sein. Das ist wahrlich bedauernswert. Die Kirche gestattet ihm, zum Erlass seiner Sünden Buße zu tun.;;Uno de los hijos favoritos de Dios ha sido acusado de matar a un familiar. Es muy desafortunado. La iglesia le permitirá hacer penitencia para su absolución.;;;;;;;;;x
EVTDESC39211;An emissary from [From.GetTitledFirstName] has reached us with a proposal. [From.GetTitle] will grant us absolution for our sins of kinslaying.;Un émissaire [From.Get_du_TitledFirstName] nous a fait une proposition. [From.Get_only_Le_Title][From.GetTitle] accepte de nous accorder l'absolution pour nos péchés de parricide.;Ein Gesandter von [From.GetTitledFirstName] ist bei uns mit einem Vorschlag angekommen. [From.GetTitle] gewährt uns Absolution für unsere sündigen Sippenmorde.;;Un emisario de [From.GetTitledFirstName] nos ha hecho una propuesta. [From.GetTitle] nos dará la absolución por matar a familiares.;;;;;;;;;x
EVTDESC39212;[From.GetTitledFirstName] has repented [From.GetHerHis] grave sin of kinslaying. Absolution has been granted and the all the angels of Heaven are crying with joy.;[From.Get_Le_TitledFirstName] s'est repenti[From.Get_E] de son grave péché de parricide. L'absolution lui a été accordé[From.Get_E] et tous les anges du ciel en pleurent de joie.;[From.GetTitledFirstName] hat [From.GetHerHis]e Todsünde des Sippenmords bereut. Dafür wurden alle Sünden erlassen, und die himmlischen Engel weinen vor Freude.;;[From.GetTitledFirstName] se ha arrepentido de su grave pecado de matar a familiares. Se ha concedido la absolución y todos los ángeles del cielo lloran de alegría.;;;;;;;;;x
EVTDESC39213;[From.GetTitledFirstName] refuses to repent [From.GetHerHis] grave sin of kinslaying. [From.GetSheHeCap] will spend a long time in Purgatory...;[From.Get_Le_TitledFirstName] refuse de se repentir de son grave péché de parricide. [From.GetIlElleCap] passera beaucoup de temps au purgatoire...;[From.GetTitledFirstName] weigert sich, [From.GetHerHis]e Todsünde des Sippenmords zu bereuen. Dafür wird [From.GetSheHeCap] lange im Fegefeuer schmoren ...;;[From.GetTitledFirstName] se niega a arrepentirse de su grave pecado de matar a familiares. Pasará largo tiempo en el purgatorio...;;;;;;;;;x
EVTDESC39220;I am forced to languish in this dungeon, where the evil fiends of [Root.Host.GetTitledFirstName] is torturing my soul.;Me voilà réduit[Root.Get_E] à languir dans ce cachot où les démons [Root.Host.Get_du_TitledFirstName] torturent mon âme.;Ich muss hier in diesem Kerker schmachten, wo die bösen Unholde von [Root.Host.GetTitledFirstName] meine Seele foltern.;;Me obligan a languidecer en esta mazmorra donde los diablos de [Root.Host.GetTitledFirstName] torturan a mi alma.;;;;;;;;;x
EVTDESC39221;We have received a letter from [From.GetTitledFirstName] asking us to intervene on his behalf and ask [From.Host.GetTitledFirstName] to release him from his prison.;Nous avons reçu une lettre [From.Get_du_TitledFirstName] nous priant d'intercéder en sa faveur pour que [From.Host.Get_le_TitledFirstName] le libère de sa prison.;[From.GetTitledFirstName] bittet uns in einem Brief, [From.Host.GetTitledFirstName] seinethalben um Freilassung aus dem Kerker zu ersuchen.;;Hemos recibido una carta de [From.GetTitledFirstName] para que intervengamos en su nombre y pidamos a [From.Host.GetTitledFirstName] que le libere.;;;;;;;;;x
EVTDESC39222;We have caught [From.GetTitledFirstName] attempting to smuggle out a letter to the Pope, where he wishes the Holy Father to intervene on his behalf.;Nous avons intercepté une lettre clandestine [From.Get_du_TitledFirstName] à l'intention du Pape dans laquelle il demande au Saint-Père d'intercéder en sa faveur.;Wir haben [From.GetTitledFirstName] dabei erwischt, einen Brief an den Papst hinaus zu schmuggeln, in dem er den Heiligen Vater zum Einschreiten seinethalben bittet.;;Hemos pillado a [From.GetTitledFirstName] intentando sacar ilícitamente una carta al Papa en la que le insta a intervenir en su nombre.;;;;;;;;;x
EVTDESC39223;The prayers of [From.GetTitledFirstName] have not gone unnoticed. Is there such a thing as a limit to my power?;Les prières [From.Get_du_TitledFirstName] ont été entendues. Y a-t-il une limite à mon pouvoir ?;Die Gebete von [From.GetTitledFirstName] sind nicht ungehört geblieben. Ach, meine Macht scheint grenzenlos zu sein!;;Las oraciones de [From.GetTitledFirstName] no han pasado desapercibidas. ¿Acaso mi poder tiene límite?;;;;;;;;;x
EVTDESC39224;[From.GetTitledFirstName] has come to our intervention and written a stern letter to [Root.Host.GetTitledFirstName] demanding our release.;[From.Get_Le_TitledFirstName] a intercédé en notre faveur en rédigeant une lettre sévère à l'intention [Root.Host.Get_du_TitledFirstName] pour lui demander notre libération.;[From.GetTitledFirstName] ist unserethalben eingeschritten und hat in einem strengen Brief an [Root.Host.GetTitledFirstName] unsere Freilassung gefordert.;;[From.GetTitledFirstName] ha atendido nuestra intervención y ha escrito una dura carta a [Root.Host.GetTitledFirstName] para que nos libere.;;;;;;;;;x
EVTDESC39225;A secret messenger from [From.GetTitledFirstName] has arrived, telling me that the Holy Father can do nothing to help me..;Un messager secret [From.Get_du_TitledFirstName] est venu m'annoncer que le Saint-Père ne peut rien pour moi.;Ein Geheimbote von [From.GetTitledFirstName] hat mir berichtet, dass der Heilige Vater mir nicht helfen kann ...;;Ha llegado un mensajero secreto de [From.GetTitledFirstName] y me ha dicho que el Santo Padre no puede ayudarme...;;;;;;;;;x
EVTDESC39226;A letter has arrived from the Holy Father. He demands that we release [From.GetTitledFirstName] from our prison and submit to the will of God.;Une lettre du Saint-Père est arrivée. Il nous demande de libérer [From.Get_le_TitledFirstName] et de nous soumettre à la volonté de Dieu.;Ein Brief des Heiligen Vaters ist eingetroffen. Er verlangt, dass wir [From.GetTitledFirstName] aus unserem Kerker freilassen und ihm dem Willen Gottes überstellen.;;Ha llegado una carta del Santo Padre. Pide que liberemos a [From.GetTitledFirstName] y le sometamos a la voluntad de Dios.;;;;;;;;;x
EVTDESC39230;A procession of monks have arrived at our castle, protesting that we are keeping a Bishop in our prison. They claim that we are sinning against the law of God!;Une procession de moines est arrivée au château. Ils nous accusent d'avoir emprisonné un évêque. Ils prétendent que nous péchons contre la loi de Dieu !;Eine Prozession von Mönchen hat unser Schloss erreicht und sie protestieren dagegen, dass wir einen Bischof in unserem Gefängnis gefangen halten. Sie behaupten, wir würden uns gegen das Gesetz Gottes versündigen!;;Una procesión de monjes han llegado a nuestro castillo, quejándose de que retenemos a un obispo en nuestra prisión. ¡Dicen que pecamos contra la ley de Dios!;;;;;;;;;x
EVTDESC39240;There are rumors that one of the rulers of Christendom is employing a heathen in their court. This is not acceptable to the Church, and this earthly lord will surely be damned unless we intervene.;Des rumeurs prétendent que l'un des chefs de la chrétienté recrute un païen dans sa Cour. C'est inacceptable aux yeux de l'Église et ce Seigneur sera damné si nous n'intervenons pas.;Es gibt Gerüchte, dass einer der Herrscher des Christentums einen Heiden an seinem Hofe beschäftigt. Dies ist für die Kirche nicht akzeptabel und dieser weltliche Lord wird verdammt sein, wenn wir nicht eingreifen.;;Hay rumores de que uno de los gobernantes de la cristiandad emplea a un pagano en su corte. Esto no es admisible por la iglesia y este señor terrenal será maldecido a menos que intervengamos.;;;;;;;;;x
EVTDESC39241;An emissary from [From.GetTitledFirstName] has arrived in our court. According to the emissary, the Holy Father is concerned about our employment of heathens as advisors. The Pope is asking of me to remove them from position.;Un émissaire [From.Get_du_TitledFirstName] est arrivé à la Cour. Selon lui, le Saint-Père n'apprécie pas que nous ayons des païens comme conseillers. Le Pape me demande de les démettre de leurs fonctions.;Ein Gesandter von [From.GetTitledFirstName] ist am Hofe angekommen. Laut dem Gesandten ist der Heilige Vater wegen der Beschäftigung von Heiden als Berater besorgt. Der Papst erwartet von mir, dass ich sie von ihrer Position entferne.;;Un emisario de [From.GetTitledFirstName] ha llegado a nuestra corte. Según el emisario, el Santo Padre está preocupado porque empleamos a paganos como asesores. El Papa me solicita que los destituya de sus cargos.;;;;;;;;;x
EVTDESC39242;An emissary has returned from [From.GetBestName] bearing glorious news. The emissary says that [From.GetTitledFirstName] has agreed to banish a heathen that was in [From.GetHerHis] court.;Un émissaire revenu de chez [From.Get_only_le_Title][From.GetBestName] vous apporte de grandes nouvelles: [From.Get_le_TitledFirstName] a accepté de bannir un païen de sa Cour.;Ein Gesandter ist von [From.GetBestName] zurückgekehrt - mit glorreichen Nachrichten. Der Gesandte sagt, dass [From.GetTitledFirstName] zugestimmt habe, einen Heiden zu verbannen, der sich an [From.GetHerHis]em Hofe befand.;;Un emisario ha regresado de [From.GetBestName] con gloriosas noticias. El emisario dice que [From.GetTitledFirstName] ha aceptado desterrar a un pagano de su corte.;;;;;;;;;x
EVTDESC39243;An emissary has returned from [From.GetBestName] bearing glorious news. The emissary says that [From.GetTitledFirstName] has agreed to imprison a heathen that was in [From.GetHerHis] court.;Un émissaire revenu de chez [From.Get_only_le_Title][From.GetBestName] vous apporte de grandes nouvelles: [From.Get_le_TitledFirstName] a accepté d'emprisonner un païen de sa Cour.;Ein Gesandter ist von [From.GetBestName] zurückgekehrt - mit glorreichen Nachrichten. Der Gesandte sagt, dass [From.GetTitledFirstName] zugestimmt habe, einen Heiden einzusperren, der sich an [From.GetHerHis]em Hofe befand.;;Ha regresado un emisario de [From.GetBestName] con gloriosas noticias. El emisario dice que [From.GetTitledFirstName] ha aceptado encarcelar a un pagano de su corte.;;;;;;;;;x
EVTDESC39244;This is a day that the has caused cries of joy to rise up from the pits of hell. An emissary from  [From.GetBestName] is stating that [From.GetSheHe] refuse to follow our demands.;Quel triste jour dans l'histoire de notre peuple. Un émissaire [From.Get_only_du_Title][From.GetBestName] nous annonce qu'[From.GetIlElle] a refusé de satisfaire nos demandes.;Dies ist der Tag, an dem er Freudenschreie aus den Tiefen der Hölle erklingen ließ. Ein Gesandter von [From.GetBestName] behauptet, dass [From.GetSheHe] sich weigere, unseren Forderungen nachzukommen.;;El día de hoy ha provocado que se eleven gritos de gozo desde los abismos del infierno. Un emisario de [From.GetBestName] afirma que [From.GetSheHe] rechaza cumplir con nuestras peticiones.;;;;;;;;;x
EVTDESC39250;An emissary comes from [From.GetBestName], with hopes of buying indulgences to clean [From.GetHerHis] sins. While [From.GetSheHe] has committed some very grave sins, this shows sincere regret.;Un émissaire [From.Get_only_du_Title][From.GetBestName] est venu dans l'espoir que [From.GetCeluiCelle]-ci puisse acheter des indulgences pour laver ses péchés. [From.GetIlElleCap] a commis des péchés très graves, mais semble vraiment les regretter.;Ein Gesandter kommt von [From.GetBestName] - mit der Hoffnung, sich Ablässe für [From.GetHerHis]e Sünden zu erkaufen. Obschon [From.GetSheHe] einige schwere Sünden begangen hat, zeigt dies Verhalten doch ernste Reue.;;Un emisario viene de [From.GetBestName] con la esperanza de comprar indulgencias para limpiar [From.GetHerHis] pecados. Aunque [From.GetSheHe] ha cometido pecados muy graves, esto demuestra su sincero arrepentimiento.;;;;;;;;;x
EVTDESC39251;The Holy Father has granted us absolution!;Le Saint-Père nous a accordé l'absolution !;Der Heilige Vater hat uns die Absolution erteilt!;;¡El Santo Padre nos ha concedido la absolución!;;;;;;;;;x
EVTDESC39252;An emissary comes from [From.GetBestName], with hopes of repenting [From.GetHerHis] sins. While [From.GetSheHe] has committed some very grave sins, this shows sincere regret and I will lift his excommunication.;Un émissaire est venu de la part [From.Get_only_du_Title][From.GetBestName] dans le but de se repentir de ses péchés. Bien que les péchés commis soient très graves, cette venue est la preuve de regrets sincères, je lèverai donc son excommunication.;Ein Abgesandter von [From.GetBestName] kommt in der Hoffnung, dass [From.GetHerHis]e Sünden vergeben werden. Während [From.GetSheHe] einige sehr große Sünden begangen hat, zeugt dies von aufrichtiger Reue, sodass ich die Exkommunizierung aufheben werde.;;Un emisario viene de parte de [From.GetBestName] con la esperanza de redimir sus pecados. Aunque [From.GetSheHe] ha cometido pecados muy graves, esto muestra un arrepentimiento sincero y revocaré su excomunión.;;;;;;;;;x
EVTDESC39253;The Holy Father has agreed to lift the excommunication against me!;Le Saint-Père a accepté de lever mon excommunication !;Der Heilige Vater hat zugestimmt, meine Exkommunikation aufzuheben! ;;¡El Santo Padre ha accedido a revocar la excomunión contra mi!;;;;;;;;;x
EVTDESC39261;An emissary from [From.GetTitledFirstName] has arrived in our court. According to the emissary, [From.GetSheHe] is concerned about our employment of heathens as advisors. The Patriarch is asking of me to remove them from position.;Un émissaire [From.Get_du_TitledFirstName] est arrivé à la Cour, nous annonçant que ce n'est pas convenable d'employer des païens comme conseillers. Le patriarche me demande de les démettre de leurs fonctions.;Ein Gesandter von [From.GetTitledFirstName] ist an unserem Hof angekommen. Laut dem Gesandten ist [From.GetSheHe] wegen der Beschäftigung von Heiden als Berater besorgt. Der Patriarch erwartet von mir, dass ich sie von ihrer Position entferne.;;Un emisario de [From.GetTitledFirstName] ha llegado a nuestra corte. Según el emisario, [From.GetSheHe] está preocupado porque empleamos paganos como asesores. El Patriarca me solicita que los destituya de sus cargos.;;;;;;;;;x
EVTDESC39270;There is an errant bishop in one of the [catholic.GetName] realms. Rumours speak of him pledging allegiance to his earthly master ahead of God.;Un évêque erre dans l'un des royaumes [catholic.GetName]s. On dit qu'il prête davantage allégeance à son maître qu'à Dieu.;Es gibt einen fehlgeleiteten Bischof in einem der [catholic.GetName]en Reiche. Gerüchte besagen, er würde seine Treue einem weltlichen Meister anstelle seines Gottes anbiedern.;;Hay un obispo errante en uno de los reinos [catholic.GetName]s. Se oyen rumores de que ha prometido lealtad a su señor terrenal por encima de Dios.;;;;;;;;;x
EVTDESC39271;The Holy Father is most concerned about the loyalties of the bishops of our realm. [From.GetBestName] is asking for us to replace one of them with a bishop.;La loyauté des évêques de notre Royaume préoccupe le Saint-Père. [From.Get_only_Le_Title][From.GetBestName] nous demande de remplacer l'un d'eux par un autre évêque.;Der Heilige Vater ist sehr besorgt bezüglich der Loyalität der Bischöfe in unserem Reich. [From.GetBestName] ersucht uns darum, einen von ihnen durch einen Bischof zu ersetzen;;El Santo Padre está muy preocupado por la lealtad de los obispos de nuestros dominios. [From.GetBestName] nos solicita que sustituyamos uno de ellos por un obispo;;;;;;;;;x
EVTDESC39272;An emissary has returned from [From.GetBestName] bearing glorious news. The errant bishop is no longer in a position of authority.;Un émissaire revenu de chez [From.Get_only_le_Title][From.GetBestName] apporte de grandes nouvelles: l'évêque dévoyé n'a plus d'autorité.;Ein Gesandter ist von [From.GetBestName] zurückgekehrt - mit glorreichen Nachrichten. Der fehlgeleitete Bischof hat ab nun keine autoritäre Position mehr inne.;;Un emisario ha regresado de [From.GetBestName] con gloriosas noticias. El obispo errante ya no goza de autoridad.;;;;;;;;;x
EVTDESC39273;Our emissary has returned from [From.GetBestName]. The news he bring is dire indeed, as [From.GetBestName] is refusing to follow our demands.;Notre émissaire est revenu de chez [From.Get_only_le_Title][From.GetBestName]. Les nouvelles qu'il apporte sont désastreuses, puisque c[From.GetEEtte] derni[From.GetErEre] refuse de satisfaire nos demandes.;Unser Gesandter ist von [From.GetBestName] zurückgekehrt. Die Neuigkeiten, die er hat, sind verheerend, da [From.GetBestName] sich weigert, unseren Forderungen nachzukommen.;;Nuestro emisario ha vuelto de [From.GetBestName]. Las noticias que trae son muy desafortunadas. [From.GetBestName] se niega a seguir nuestras demandas.;;;;;;;;;x
EVTDESC39275;We have loyal bishops in other realms. Perhaps we should return them to their de-jure rulers, so that they can guide their earthly lieges.;Nous possédons des évêques fidèles dans d'autres royaumes. Peut-être faudrait-il les rendre à leurs souverains de jure pour qu'ils puissent guider leurs vassaux.;Wir haben loyale Bischöfe in anderen Reichen. Vielleicht sollten wir sie zu ihren De-jure-Herrschern zurückschicken, auf dass sie ihre weltlichen Lehnsherren leiten können.;;Contamos con obispos leales en otros dominios. Tal vez deberíamos devolverlos a sus gobernantes de facto, de forma que puedan guiar a sus súbditos terrenales.;;;;;;;;;x
