#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

EVTTITLE91241;The Price of Decadence;Le prix de la décadence;Der Preis der Dekadenz;;El precio de decadencia;;;;;;;;;x
EVTDESC91208;More and more of your waking hours are being spent comparing your worldly possessions with those of other rulers. For someone of your same station to have a more lavish palace or prettier garments is simply unacceptable.;De plus en plus souvent, lors de vos promenades, vous comparez vos possessions mondiales avec celles des autres dirigeants. Pour une personne de même rang que le vôtre, posséder un palais plus majestueux ou des vêtements plus jolis serait tout simplement inacceptable.;Ihr verbringt mehr und mehr Zeit Eures Wachzustands damit, Eure weltlichen Besitztümer mit denen anderer Herrscher zu vergleichen. Für jemand mit Eurem Status ist es einfach nicht akzeptabel, einen verschwenderischeren Palast oder schönere Gewänder zu besitzen.;;Cada vez pasas más horas del día comparando tus posesiones terrenales con las de otros gobernantes. Que alguien de tu mismo nivel tenga un palacio más suntuoso o atuendos más bellos es sencillamente inaceptable.;;;;;;;;;x
EVTDESC91209;Your foul temper is frequently discussed in hushed voices among your palace staff. Furniture, silverware, mirrors - everything is fair game when your mood turns bad and you feel the need to break or throw something. If your palace was ever looted, would anyone be able to tell the difference?;Votre odieux caractère est un sujet de conversation récurrent, chez vos serviteurs. Meubles, argenterie et miroirs sont tout autant de cibles idéales lorsque vous avez besoin de soulager votre colère. Si votre palais était un jour mis à sac, personne ne verrait la différence...;Euer garstiges Gemüt wird häufig hinter vorgehaltener Hand unter Eurem Palastpersonal diskutiert. Mobiliar, Tafelsilber, Spiegel - alles ist Freiwild, wenn Eure Laune umschlägt und Ihr das Verlangen verspürt, etwas zerbrechen zu müssen oder etwas zu werfen. Wenn Euer Palast jemals ausgeraubt werden würde, wer könnte da den Unterschied erkennen? ;;El personal de tu palacio murmura sobre tu carácter alocado. Muebles, platería, espejos, cualquier cosa sirve cuando te cambia el humor y sientes la necesidad de romper o arrojar algo. Si tu palacio fuera alguna vez saqueado, ¿quién podría notar la diferencia?;;;;;;;;;x
EVTDESC91210;You order the construction of a massive bronze statue over the main entrance of [Root.Location.GetName] depicting yourself holding a raised sword, challenging the very heavens to strike you down if they dare. This generous gift to the people will help them remember your splendor and brilliance.;Vous donnez l'ordre de construire une gigantesque statue en bronze au-dessus de l'entrée principale de [Root.Location.GetName], vous représentant brandissant un glaive et défiant les dieux de vous abattre. Ce don généreux à vos sujets les aidera à se souvenir de votre splendeur.;Ihr ordnet den Bau einer Bronzestatue über dem Haupteingang von [Root.Location.GetName] an, ein Abbild von Euch mit gezücktem Schwert, sogar den Himmel herausfordernd, dass man Euch niederstrecken soll, wenn man es wagen sollte. Dieses großzügige Geschenk an die Menschen wird ihnen helfen, Eure Herrlichkeit und Euren Scharfsinn immer in Erinnerung zu behalten.;;Ordenas construir una enorme estatua de bronce en la entrada principal de [Root.Location.GetName], en la que apareces tú con una espada en alto, desafiando a los mismos cielos a enfrentarse a ti si se atreven. Este generoso regalo al pueblo les recordará tu esplendor y brillantez.;;;;;;;;;x
EVTDESC91211;Your deceitfulness and guile sometimes serve you well, but it has also earned you a reputation among your subjects as someone who is not to be trusted. They simply do not see you as a man of honor.;Votre fausseté et votre fourberie vous sont parfois très utiles, mais elles vous ont également valu chez vos sujets la réputation d'un homme en qui on ne peut pas avoir confiance. À leurs yeux, vous n'êtes pas un homme d'honneur.;Eure Arglist und Tücke kommt Euch manchmal zu Gute, doch es hat Euch auch einen Ruf unter Euren Untertanen eingebracht als jemand, dem man nicht vertrauen kann. Sie sehen Euch einfach nicht als einen Mann der Ehre. ;;Tu astucia y capacidad de engaño a veces te vienen bien, pero te han creado una reputación como persona de no fiar entre tus súbditos, que no acaban de verte como un hombre de honor.;;;;;;;;;x
EVTDESC91212;While there are some rulers who take an active role in military affairs, the safety of the palace life is far more appealing to you. Why, if you ventured beyond the palace gates, something could hurt you!;Alors que certains souverains jouent un rôle actif dans les affaires militaires, la sécurité de la vie au palais semble mieux vous correspondre. Et oui, en vous aventurant au-delà des portes du palais, quelque chose pourrait vous arriver !;Während einige Herrscher eine aktive Rolle in den militärischen Angelegenheiten einnehmen, hat das sichere Palastleben einen größeren Anreiz für Euch. Natürlich, wenn Ihr Euch vor die Palasttore wagen würdet, könntet Ihr schließlich verletzt werden! ;;Aunque algunos gobernantes participan de forma activa en los asuntos militares, la seguridad de la vida palaciega te resulta mucho más atractiva. Porque, si te aventuraras más allá de las puertas de palacio, ¡alguien podría herirte!;;;;;;;;;x
EVTDESC91213;While there are always those who moan and mutter about the need to continually better oneself and strive for improvement, you are quite content with the way things are now. The land is yours to rule, you have a beautiful palace and the sun still shines warmly.;À l'inverse des éternels mécontents qui insistent sur la nécessité de sans cesse chercher à s'améliorer et à progresser, vous êtes satisfait de votre situation générale. Vous régnez sur un pays, vous occupez un superbe palais et le soleil brille.;Während es immer welche gibt, die darüber jammern und murren, dass sie sich immer bessern müssen und nach Verbesserung trachten, seid Ihr sehr zufrieden mit den Dingen, wie sie jetzt sind. Das Land wird von Euch regiert, Ihr habt einen wunderschönen Palast und die Sonne scheint warm. ;;Aunque siempre hay quien protesta y refunfuña sobre la necesidad de mejorar continuamente y de esforzarse en progresar, tú estás bastante satisfecho con el estado actual de las cosas. La tierra es toda tuya para gobernar, tienes un bello palacio y el sol aún calienta.;;;;;;;;;x
EVTDESC91214;Justice and the rule of law do not interest you, unless they happen to coincide with your own sense of how things should be. Many of your subjects are grumbling about how you seem to hold yourself above the laws they have to observe.;La justice et le respect des lois ne vous intéressent pas, sauf si cela coïncide avec vos idées. Bon nombre de vos sujets n'apprécient guère la façon que vous avez de vous placer au-dessus des lois que eux doivent respecter à la lettre.;Gerechtigkeit und die Regeln der Gesetze interessieren Euch nicht, außer sie überschneiden sich mit Eurem eigenen Empfinden, wie Dinge zu sein haben. Viele Eurer Untertanen murren darüber, wie Ihr euch selbst über die Gesetze stellt, die sie einzuhalten haben. ;;La justicia y el cumplimiento de la ley no te interesan, excepto si coinciden con tu propia creencia sobre cómo deben ser las cosas. Muchos de tus súbditos protestan cuando te ven saltarte leyes que ellos deben acatar obligatoriamente.;;;;;;;;;x
EVTDESC91215;Your cynical view of all religious matters has resulted in you only observing those elements of the Muslim faith you find convenient and ignoring the rest. Some of your subjects are muttering about this lack of piousness on your part.;Votre cynisme concernant les affaires religieuses vous a conduit à ne respecter que les aspects qui vous intéressent de la foi musulmane et à ignorer les autres. Certains de vos sujets déplorent votre manque de piété.;Eure zynische Sichtweise auf religiöse Angelegenheiten resultierte darin, dass Ihr nur die Elemente des muslimischen Glaubens einhaltet, die für Euch bequem sind, den Rest ignoriert Ihr. Einige Eurer Untertanen murren über diese fehlende Gottesfürchtigkeit Eurerseits.;;Tu mirada crítica sobre todos los temas religiosos ha desembocado en que solo acates los elementos de la fe musulmana que crees convenientes y que ignores el resto. Algunos de tus súbditos murmuran sobre esta falta de piedad por tu parte.;;;;;;;;;x
EVTDESC91216;You suspect everyone around you of treachery, to the point where your servants and staff are terrified of even breathing in your presence. The size and influence of your palace guard has increased tenfold as everything, good or bad, has to pass through them before reaching you.;Vous suspectez tout le monde de traîtrise, au point que vos serviteurs et vos proches collaborateurs sont terrifiés à la simple idée de respirer en votre présence. La garde du palais a vu son effectif et son autorité décupler. Les gardes servent à présent d'intermédiaires obligatoires entre vous et le reste du monde.;Ihr verdächtigt alle um Euch herum des Verrats bis zu dem Punkt, dass Eure Bediensteten und Mitarbeiter Angst davor hatten, in Eurer Anwesenheit überhaupt auch nur zu atmen. Die Größe und der Einfluss Eurer Palastwache hat sich verzehnfacht, da alles, ob gut oder schlecht, durch sie hindurch müssen, um zu Euch zu kommen. ;;Sospechas que todos los que te rodean te traicionan, hasta el punto de que tus sirvientes y empleados temen incluso respirar en tu presencia. El tamaño y la influencia de la guardia de tu palacio se han multiplicado por diez, dado que cualquier cosa, buena o mala, tiene que pasar por ellos antes de llegar a ti.;;;;;;;;;x
EVTDESC91217;You take great pleasure in inflicting cruel punishments on your servants and subjects. If there is no reason to punish them, you find it easy enough to invent one.;Vous prenez un malin plaisir à infliger des châtiments cruels à vos sujets et vos serviteurs. Et même s'ils n'ont rien fait de mal, vous trouvez facilement un prétexte pour les punir.;Ihr findet Gefallen daran, Euren Bediensteten und Untertanen grausame Bestrafungen aufzuerlegen. Wenn es keinen Grund gibt, sie zu bestrafen, fällt es Euch leicht, etwas zu erfinden.;;Infligir castigos crueles a tus sirvientes y súbditos te produce gran placer. Cuando no hay razón para castigarlos, inventar una te resulta de lo más sencillo.;;;;;;;;;x
EVTDESC91218;You always seem to be thinking several steps ahead of the people near you. There are few people alive who can match your mental prowess, and when your intellect is focused on a single problem, people know a solution will be found.;Vous semblez avoir toujours une réflexion plus poussée que vos collaborateurs. Rares sont les personnes capables de telles prouesses mentales, et quand vous vous concentrez sur un problème particulier, une solution finit toujours par être trouvée.;Ihr scheint den Leuten um Euch herum immer einige Schritte voraus zu sein. Es gibt wenig Leute, die Eurer mentalen Leistungsfähigkeit gleichkommen, und wenn Eure Intelligenz auf ein einzelnes Problem fokussiert ist, wissen die Leute, dass eine Lösung gefunden wird. ;;Tu pensamiento parece ir siempre varios pasos por delante del de quienes te rodean. Pocas personas pueden equipararse a tu agudeza mental y, cuando tu intelecto se concentra en un problema, todos saben que hallarás una solución.;;;;;;;;;x
EVTDESC91219;Your decision to put aside your carnal desires and lead a life of celibacy is applauded by the people, either because they admire your sacrifice or because they are relieved you are less likely to procreate.;La décision de mettre un terme aux plaisirs de la chair et de mener une vie de célibat est applaudie par le peuple, soit parce qu'ils admirent votre sens du sacrifice, soit parce qu'ils sont soulagés de ne plus vous voir procréer à gogo.;Eure Entscheidung, Eure fleischlichen Gelüste zur Seite zu schieben und ein zölibatäres Leben zu führen, wird von den Menschen gutgeheißen, entweder weil sie bewundern, welches Opfer Ihr bringt, oder weil sie erleichtert sind, dass es weniger wahrscheinlich ist, dass Ihr Euch fortpflanzt. ;;La gente aplaude tu decisión de alejarte del deseo carnal y llevar una vida de celibato, bien porque admiran tu sacrificio o bien porque les provoca una sensación de alivio que tus probabilidades de reproducción disminuyan.;;;;;;;;;x
EVTDESC91220;As a dedicated scholar, you have gained many valuable insights from all the tomes you have studied. From the Quran to ancient treatises on farming techniques and history, there is great wisdom to be found in all.;En tant qu'érudit dévoué, vos nombreuses lectures vous ont apporté de grandes connaissances. Du Coran aux anciens traités d'agriculture en passant par l'histoire, vous savez puiser la sagesse dans tous les ouvrages.;Als engagierter Gelehrter habt Ihr viele wertvolle Einsichten durch all die Folianten gewonnen, die Ihr gelesen habt. Vom Koran bis hin zu antiken Abhandlungen über Farmtechniken und Geschichte, in allem kann große Weisheit gefunden werden.;;Como erudito aplicado que eres, has extraído muchas ideas valiosas de los tomos estudiados. Desde el Corán hasta los tratados antiguos sobre técnicas de cultivo e historia, todos albergan una gran sabiduría.;;;;;;;;;x
EVTDESC91221;Your chaste and virtuous lifestyle is held as an example even far beyond the borders of those lands belonging to you. If only all men lived thus.;Votre style de vie chaste et vertueux est un exemple qui s'étend au-delà des frontières de votre territoire. Si seulement tous les hommes vivaient de la même façon.;Euer keuscher und züchtiger Lebenswandel wird als Beispiel gehalten, sogar weit über die Grenzen Eures Landes hinaus. Wenn doch nur alle Männer so leben würden. ;;Tu estilo de vida casto y virtuoso se muestra como ejemplo incluso más allá de las fronteras de tus tierras. Ojalá todos los hombres vivieran de este modo.;;;;;;;;;x
EVTDESC91222;Where other rulers often abuse their positions and give in to excess, you have always valued moderation in all things. This quality is admired by the people you rule.;Là où les autres dirigeants abusent de leur pouvoir et font des excès, vous prêchez la modération. Votre peuple ne peut être qu'admiratif devant cette grande qualité.;Da, wo andere Herrscher oft ihre Position ausnutzen und an Exzessen teilnehmen, habt Ihr in allen Bereichen immer maßgehalten. Diese Qualität wird von den Menschen, die Ihr regiert, bewundert.;;Mientras otros gobernantes suelen abusar de su posición y se dejan llevar por los excesos, tú siempre has valorado la moderación en todas las cosas. Aquellos a quienes gobiernas admiran esta cualidad.;;;;;;;;;x
EVTDESC91223;You are always ready to give to those less fortunate than yourself, and when a rockslide destroyed the homes of several poor families in [Root.Location.GetName], you offered them temporary lodgings in your palace.;Vous êtes toujours prêt à donner aux plus pauvres, et quand un glissement de terrain provoque la destruction de plusieurs habitations à [Root.Location.GetName], vous décidez d'héberger les familles dans votre palais de façon temporaire.;Ihr seid immer bereit, den weniger Glücklichen zu geben, und als ein Bergsturz die Häuser vieler armer Familien in [Root.Location.GetName] zerstörte, habt Ihr sie zeitweise in Euren Palast eingeladen.;;Siempre estás listo para dar a los desafortunados. Cuando un desprendimiento de rocas destruyó los hogares de varias familias pobres en [Root.Location.GetName], les ofreciste alojamiento en palacio de forma temporal.;;;;;;;;;x
EVTDESC91224;Your tireless and diligent work as their ruler has not gone unnoticed by your people. Some have dubbed you 'He Who Appears Everywhere' and claim you possess supernatural powers to exist in more than one place at once.;Votre peuple a remarqué la diligence dont vous faites preuve pour gouverner. Certaines personnes vous ont surnommé « Celui qui apparaît partout » et prétendent que vous avez des pouvoirs surnaturels vous permettant d'être à plusieurs endroits à la fois.;Eure unermüdliche und gewissenhafte Arbeit als ihr Herrscher ist von Euren Untertanen nicht unbemerkt geblieben. Manche nennen Euch "Er, der überall erscheint" und behaupten, dass Ihr übersinnliche Kräfte besitzt, sodass Ihr zeitgleich an mehr als einem Ort sein könnt.;;Tu trabajo incansable y diligente como gobernante no ha pasado desapercibido a tu pueblo. Algunos te han apodado 'El que aparece en todo lugar' y afirman que posees poderes sobrenaturales para estar presente en más de un sitio a la vez.;;;;;;;;;x
EVTDESC91225;You have become renowned for your kind rule, and your people love you for it. There are those who would call you soft, but even they are impressed by the devotion your subjects show you.;Vous êtes réputé[Root.Get_E] pour régner avec bonté, et en retour le peuple vous apprécie. Et même si certaines personnes vous trouvent trop indulgent[Root.Get_E], ils n'en sont pas moins impressionnés par l'attachement que vous portent vos sujets.;Ihr werdet als gütiger Herrscher angesehen und Eure Untertanen lieben Euch dafür. Es gibt welche, die Euch als weich bezeichnen würden, doch selbst diese sind von der Hingabe beeindruckt, die Euch Eure Untertanen entgegenbringen. ;;Te has hecho famoso por tu buen mandato y tu pueblo te ama por ello. Algunos te llamarían blando, pero incluso ellos están impresionados por la devoción que demuestran tus súbditos.;;;;;;;;;x
EVTDESC91226;Your ability to plan for the long-term and see the big picture has served you well as a ruler. Future generations will thank you for the work you do today!;Vos aptitudes à voir sur le long terme et à toujours avoir une vue d'ensemble de la situation sont des atouts pour gouverner. Les générations futures vous remercieront pour le travail que vous accomplissez aujourd'hui !;Eure Fähigkeit, langfristig zu planen und das große Ganze zu erkennen, hat Euch als Herrscher gute Dienste geleistet. Zukünftige Generationen werden Euch für die Arbeit danken, die Ihr heute vollbracht habt! ;;Tu habilidad para planificar a largo plazo y ver las cosas de forma global te ha ido bien para gobernar. ¡Las generaciones futuras te agradecerán el trabajo que haces actualmente!;;;;;;;;;x
EVTDESC91227;You always strive to be humble, never forgetting the roots of yourself and your ancestors. There are many lessons from the past that must still be heeded today.;Vous veillez toujours à faire preuve d'humilité, à ne jamais oublier vos racines et vos ancêtres. Il faut toujours tenir compte des leçons du passé.;Ihr strebt immer an, bescheiden zu sein, niemals Eure Wurzeln zu vergessen. Es gibt viele Lehrstunden aus der Vergangenheit, die noch heute beherzigt werden müssen. ;;Te esfuerzas siempre por ser humilde, sin olvidar jamás tus raíces y las de tus antepasados. Hay muchas lecciones del pasado que aún hay que tener en cuenta.;;;;;;;;;x
EVTDESC91228;Your honest nature and tendency to speak what is on your mind has ruffled a few feathers in the past, but it has also earned you great respect. People know that your words ring true.;Votre honnêteté et votre franchise ont pu froisser quelques personnes par le passé mais elles vous ont aussi valu un profond respect. Vos mots sonnent juste aux oreilles de vos sujets.;Eure ehrliche Natur und die Neigung, das zu sagen, was Euch gerade durch den Kopf geht, hat in der Vergangenheit so manchen verärgert, aber brachte Euch auch viel Respekt ein. Die Leute wissen, dass Eure Worte wahr sind.;;Tu naturaleza honesta y tu natural tendencia a decir lo que piensas ha irritado a algunos en el pasado, pero también te ha granjeado un gran respeto. El pueblo sabe que tus palabras dicen la verdad.;;;;;;;;;x
EVTDESC91229;Your enemies would accuse you of many things, but not even they would label you a coward. It is well known that you are fearless and always willing to share the dangers faced by your men.;Vos ennemis pourraient vous reprocher de nombreuses choses, mais certainement pas votre lâcheté. Tout le monde sait que vous êtes un[Root.Get_E] [Root.GetManWoman] intrépide, qui ne laisse jamais ses hommes affronter seuls le danger.;Eure Feinde würden Euch viele Dinge vorwerfen, doch nicht einmal sie würden Euch als einen Feigling bezeichnen. Es ist wohl bekannt, dass Ihr furchtlos seid und Ihr immer bereit seid, die Gefahr zu teilen, denen Eure Männer gegenüberstehen.;;Tus enemigos podrían acusarte de muchas cosas, pero ninguno se atrevería a etiquetarte como cobarde. Es bien sabido que no temes a nada y que siempre estás dispuesto a compartir los peligros a los que se enfrentan tus hombres.;;;;;;;;;x
EVTDESC91230;You are an ambitious man, always striving to improve and do better. The people know this, and though some of your decisions may be unpopular, they are usually at least seen as progressive.;Vous êtes un[Root.Get_E] [Root.GetManWoman] ambitieu[Root.GetXSe], toujours désireu[Root.GetXSe] de vous améliorer. Les gens le savent et même si certaines de vos décisions sont impopulaires, elles ont au moins le mérite d'être progressistes.;Ihr seid ein ambitionierter Mann, der immer bestrebt ist, sich zu verbessern. Die Leute wissen das, und auch wenn einige Eurer Entscheidungen unpopulär sind, werden sie normalerweise zumindest als fortschrittlich angesehen. ;;Eres un hombre ambicioso y te esfuerzas continuamente por mejorar y ser mejor. La gente lo sabe y, aunque algunas de tus decisiones no sean populares, por lo menos se ven como progresivas.;;;;;;;;;x
EVTDESC91231;Just and fair in all things, your people rest easy in the knowledge that no matter what, you can always be depended on to observe the rule of law.;Avec un seigneur juste et impartial tel que vous, le peuple sait qu'il peut compter sur vous pour respecter les lois à la lettre.;Gerecht und fair, Eure Untertanen können sich immer darauf verlassen, dass Ihr, egal wie, Eure Gesetze einhaltet.;;Dado que eres justo y legal en todos los asuntos, tu pueblo descansa con el conocimiento de que, pase lo que pase, tú siempre respetarás la ley.;;;;;;;;;x
EVTDESC91232;No one can question your devotion to Allah and the teachings of his Prophet (peace be upon him). You can always be counted on to put your faith ahead of yourself.;Personne ne pourra jamais remettre en question votre dévouement pour Allah et votre respect des enseignements du Prophète (que la paix soit avec Lui). La foi aura toujours le dessus.;Niemand kann Eure Hingabe zu Allah und den Lehren seines Propheten (der Friede sei mit ihm) in Frage stellen. Man kann immer sicher sein, dass Ihr Euren Glauben über Euch stellt. ;;Nadie puede cuestionar tu devoción a Alá y a las enseñanzas de su profeta (la paz sea con él). Siempre antepones la fe a tu persona.;;;;;;;;;x
EVTDESC91233;You have proven your devotion to Allah (may He be glorified and exalted) by making war against the enemies of Islam. As one of the mujahideen, you are acknowledged to have fought in a Jihad.;Vous avez prouvé votre dévouement envers Allah (qu'Il soit exalté) en déclarant la guerre aux ennemis de l'islam. En tant que moudjahid, il est désormais reconnu que vous avez pris part à un djihad par l'épée.;Ihr habt Eure Hingabe für Allah, möge Er verherrlicht sein, bewiesen, indem Ihr in den Krieg gegen die Feinde des Islam zieht. Als einer der Mujahideen seid Ihr bekannt als jemand, der in einem Dschihad gekämpft hat.;;Has demostrado tu devoción a Alá (glorificado y exaltado sea) al declarar la guerra contra los enemigos del Islam. Ser muyahidín te identifica como luchador en una yihad.;;;;;;;;;x
EVTDESC91234;You have completely memorized the Quran, an accomplishment that not only shows your devotion to Allah (glorified and exalted be He), but which has also won you great respect as a ruler.;Vous connaissez le Coran par coeur et cet accomplissement dénote non seulement de votre dévouement envers Allah (qu'Il soit exalté) mais vous doit aussi un grand respect de la part de votre peuple.;Ihr habt den Koran vollständig auswendig gelernt, eine Leistung, die nicht nur Eure Hingabe zu Allah beweist (möge Er verherrlicht sein), sondern Euch auch großen Respekt als Herrscher eingebracht hat.;;Has memorizado el Corán por completo, un logro que no solo muestra tu devoción a Alá (glorificado y exaltado sea), sino que también te ha valido un gran respeto como gobernante.;;;;;;;;;x
